state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
QLD,Cairns,Tablelands,Outer Regional Australia,Sub-arterial Road,QLD_Tablelands_Cairns
NSW,Sydney - City and Inner South,Sydney,Major Cities of Australia,National or State Highway,NSW_Sydney_Sydney___City_and_Inner_South
VIC,Hume,Murrindindi,Inner Regional Australia,National or State Highway,VIC_Murrindindi_Hume
SA,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Local Road,SA_Port_Adelaide_Enfield_Adelaide___West
NSW,Murray,Albury,Inner Regional Australia,National or State Highway,NSW_Albury_Murray
QLD,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road,QLD_Gold_Coast_Gold_Coast
VIC,Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road,VIC_Boroondara_Melbourne___Inner_East
QLD,Brisbane - East,Redland,Major Cities of Australia,Sub-arterial Road,QLD_Redland_Brisbane___East
ACT,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road,ACT_Unincorporated_ACT_Australian_Capital_Territory
SA,Adelaide - North,Playford,Inner Regional Australia,Collector Road,SA_Playford_Adelaide___North
VIC,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway,VIC_South_Gippsland_Latrobe___Gippsland
QLD,Townsville,Hinchinbrook,Outer Regional Australia,Local Road,QLD_Hinchinbrook_Townsville
VIC,Melbourne - Inner East,Boroondara,Major Cities of Australia,Local Road,VIC_Boroondara_Melbourne___Inner_East
QLD,Wide Bay,Fraser Coast,Inner Regional Australia,Collector Road,QLD_Fraser_Coast_Wide_Bay
VIC,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Sub-arterial Road,VIC_Yarra_Ranges_Melbourne___Outer_East
VIC,Warrnambool and South West,Colac Otway,Inner Regional Australia,Access road,VIC_Colac_Otway_Warrnambool_and_South_West
NSW,Capital Region,Bega Valley,Outer Regional Australia,Arterial Road,NSW_Bega_Valley_Capital_Region
VIC,Geelong,Surf Coast,Inner Regional Australia,Local Road,VIC_Surf_Coast_Geelong
SA,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Arterial Road,SA_Mount_Barker_Adelaide___Central_and_Hills
QLD,Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road,QLD_Brisbane_Brisbane___East
NSW,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Local Road,NSW_Cessnock_Hunter_Valley_exc_Newcastle
NSW,Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,National or State Highway,NSW_Maitland_Hunter_Valley_exc_Newcastle
NSW,Murray,Federation,Outer Regional Australia,Sub-arterial Road,NSW_Federation_Murray
TAS,Hobart,Hobart,Inner Regional Australia,Local Road,TAS_Hobart_Hobart
SA,Adelaide - South,Mitcham,Major Cities of Australia,Collector Road,SA_Mitcham_Adelaide___South
NSW,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road,NSW_Clarence_Valley_Coffs_Harbour___Grafton
SA,Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Sub-arterial Road,SA_Adelaide_Adelaide___Central_and_Hills
NSW,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Arterial Road,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
QLD,Brisbane - South,Brisbane,Major Cities of Australia,National or State Highway,QLD_Brisbane_Brisbane___South
NSW,Richmond - Tweed,Lismore,Inner Regional Australia,Local Road,NSW_Lismore_Richmond___Tweed
VIC,Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road,VIC_Greater_Shepparton_Shepparton
VIC,Melbourne - North West,Merri-bek,Major Cities of Australia,Sub-arterial Road,VIC_Merri_bek_Melbourne___North_West
NSW,Riverina,Narrandera,Outer Regional Australia,Local Road,NSW_Narrandera_Riverina
QLD,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road,QLD_Logan_Logan___Beaudesert
TAS,South East,Huon Valley,Outer Regional Australia,Sub-arterial Road,TAS_Huon_Valley_South_East
NSW,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Sub-arterial Road,NSW_Cessnock_Hunter_Valley_exc_Newcastle
NSW,Riverina,Griffith,Outer Regional Australia,Local Road,NSW_Griffith_Riverina
VIC,Hume,Wodonga,Inner Regional Australia,Local Road,VIC_Wodonga_Hume
QLD,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Access road,QLD_Sunshine_Coast_Sunshine_Coast
NSW,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Arterial Road,NSW_Mid_Coast_Hunter_Valley_exc_Newcastle
VIC,Melbourne - Inner,Darebin,Major Cities of Australia,Local Road,VIC_Darebin_Melbourne___Inner
VIC,Hume,Murrindindi,Inner Regional Australia,Sub-arterial Road,VIC_Murrindindi_Hume
VIC,Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road,VIC_Ballarat_Ballarat
NSW,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Local Road,NSW_Wingecarribee_Southern_Highlands_and_Shoalhaven
VIC,Melbourne - South East,Cardinia,Inner Regional Australia,Access road,VIC_Cardinia_Melbourne___South_East
QLD,Central Queensland,Rockhampton,Inner Regional Australia,Local Road,QLD_Rockhampton_Central_Queensland
VIC,Melbourne - Outer East,Maroondah,Major Cities of Australia,Local Road,VIC_Maroondah_Melbourne___Outer_East
NSW,Murray,Albury,Inner Regional Australia,Arterial Road,NSW_Albury_Murray
NSW,Richmond - Tweed,Tweed,Major Cities of Australia,Local Road,NSW_Tweed_Richmond___Tweed
QLD,Wide Bay,North Burnett,Outer Regional Australia,National or State Highway,QLD_North_Burnett_Wide_Bay
NSW,New England and North West,Moree Plains,Remote Australia,Sub-arterial Road,NSW_Moree_Plains_New_England_and_North_West
TAS,South East,Huon Valley,Outer Regional Australia,National or State Highway,TAS_Huon_Valley_South_East
VIC,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Collector Road,VIC_Mornington_Peninsula_Mornington_Peninsula
NSW,Sydney - South West,Fairfield,Major Cities of Australia,Local Road,NSW_Fairfield_Sydney___South_West
SA,Adelaide - Central and Hills,Unley,Major Cities of Australia,Sub-arterial Road,SA_Unley_Adelaide___Central_and_Hills
SA,South Australia - South East,Alexandrina,Inner Regional Australia,Arterial Road,SA_Alexandrina_South_Australia___South_East
VIC,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Arterial Road,VIC_Yarra_Ranges_Melbourne___Outer_East
QLD,Wide Bay,Gympie,Outer Regional Australia,Local Road,QLD_Gympie_Wide_Bay
VIC,Melbourne - West,Melton,Major Cities of Australia,National or State Highway,VIC_Melton_Melbourne___West
VIC,Mornington Peninsula,Frankston,Major Cities of Australia,Local Road,VIC_Frankston_Mornington_Peninsula
QLD,Townsville,Burdekin,Outer Regional Australia,National or State Highway,QLD_Burdekin_Townsville
VIC,Melbourne - Outer East,Knox,Major Cities of Australia,Local Road,VIC_Knox_Melbourne___Outer_East
NSW,Mid North Coast,Mid-Coast,Inner Regional Australia,Sub-arterial Road,NSW_Mid_Coast_Mid_North_Coast
VIC,Melbourne - North East,Whittlesea,Inner Regional Australia,Arterial Road,VIC_Whittlesea_Melbourne___North_East
QLD,Queensland - Outback,Mareeba,Very Remote Australia,Local Road,QLD_Mareeba_Queensland___Outback
QLD,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Local Road,QLD_Western_Downs_Darling_Downs___Maranoa
VIC,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Local Road,VIC_Yarra_Ranges_Melbourne___Outer_East
VIC,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road,VIC_Monash_Melbourne___South_East
NSW,Far West and Orana,Unincorporated NSW,Very Remote Australia,National or State Highway,NSW_Unincorporated_NSW_Far_West_and_Orana
QLD,Wide Bay,South Burnett,Inner Regional Australia,Local Road,QLD_South_Burnett_Wide_Bay
NSW,Sydney - Blacktown,Blacktown,Major Cities of Australia,Local Road,NSW_Blacktown_Sydney___Blacktown
NSW,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road,NSW_Cumberland_Sydney___Parramatta
QLD,Queensland - Outback,Barcaldine,Very Remote Australia,Local Road,QLD_Barcaldine_Queensland___Outback
VIC,Melbourne - West,Wyndham,Major Cities of Australia,Arterial Road,VIC_Wyndham_Melbourne___West
NSW,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway,NSW_Glen_Innes_Severn_New_England_and_North_West
NSW,Richmond - Tweed,Lismore,Inner Regional Australia,National or State Highway,NSW_Lismore_Richmond___Tweed
VIC,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,National or State Highway,VIC_Yarra_Ranges_Melbourne___Outer_East
NSW,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Arterial Road,NSW_Northern_Beaches_Sydney___Northern_Beaches
QLD,Townsville,Townsville,Outer Regional Australia,Local Road,QLD_Townsville_Townsville
QLD,Central Queensland,Livingstone,Outer Regional Australia,National or State Highway,QLD_Livingstone_Central_Queensland
VIC,Shepparton,Greater Shepparton,Inner Regional Australia,Arterial Road,VIC_Greater_Shepparton_Shepparton
VIC,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Sub-arterial Road,VIC_Yarra_Ranges_Melbourne___Outer_East
VIC,Ballarat,Golden Plains,Inner Regional Australia,Arterial Road,VIC_Golden_Plains_Ballarat
QLD,Queensland - Outback,Cook,Very Remote Australia,Sub-arterial Road,QLD_Cook_Queensland___Outback
QLD,Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road,QLD_Ipswich_Ipswich
TAS,Hobart,Clarence,Inner Regional Australia,Arterial Road,TAS_Clarence_Hobart
NSW,Sydney - Inner South West,Georges River,Major Cities of Australia,Arterial Road,NSW_Georges_River_Sydney___Inner_South_West
NSW,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road,NSW_Maitland_Hunter_Valley_exc_Newcastle
NSW,Murray,Greater Hume,Inner Regional Australia,Arterial Road,NSW_Greater_Hume_Murray
